Identifier,ProductCategory,ProductSubCategory,AnimalSpecies,AnimalSubSpecies,RiskfeedAnimalSubSpecies,AnimalSubSpeciesWeight,AnimalSubSpeciesConsumption,AnimalSubspeciesCompoundFeedIntake,Year,MinAnimalSubSpeciesCompoundFeedIntake,MaxAnimalSubSpeciesCompoundFeedIntake,,,
3.9.1.1.3,OilseedByproduct,Groundnut expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.9.1.1.4,OilseedByproduct,Groundnut expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.9.1.1.5,OilseedByproduct,Groundnut expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.10.1.1.1,OilseedByproduct,Cottonseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.10.1.1.2,OilseedByproduct,Cottonseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.10.1.1.3,OilseedByproduct,Cottonseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.10.1.1.4,OilseedByproduct,Cottonseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.10.1.1.5,OilseedByproduct,Cottonseed expeller/extracted,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.11.1.1.1,OilseedByproduct,Soya hulls,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.11.1.1.2,OilseedByproduct,Soya hulls,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.11.1.1.3,OilseedByproduct,Soya hulls,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.11.1.1.4,OilseedByproduct,Soya hulls,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.11.1.1.5,OilseedByproduct,Soya hulls,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.12.1.1.1,OilseedByproduct,Soya concentrate,Pigs,Piglet,Big<25kg,20,1,1,2016,1,1.1,,,
3.12.1.1.2,OilseedByproduct,Soya concentrate,Pigs,Piglet,Big<25kg,20,1,1,2015,1,1.1,,,
3.12.1.1.3,OilseedByproduct,Soya concentrate,Pigs,Piglet,Big<25kg,20,1,1.1,2014,1,1.1,,,
3.12.1.1.4,OilseedByproduct,Soya concentrate,Pigs,Piglet,Big<25kg,20,1,1,2013,1,1.1,,,
3.12.1.1.5,OilseedByproduct,Soya concentrate,Pigs,Piglet,Big<25kg,20,1,1,2017,1,1.1,,,
3.13.1.1.1,OilseedByproduct,Rumen-protected rapeseed extracted,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.13.1.1.2,OilseedByproduct,Rumen-protected rapeseed extracted,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.13.1.1.3,OilseedByproduct,Rumen-protected rapeseed extracted,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.13.1.1.4,OilseedByproduct,Rumen-protected rapeseed extracted,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.13.1.1.5,OilseedByproduct,Rumen-protected rapeseed extracted,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.14.1.1.1,OilseedByproduct,Rumen-protected soya extracted,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.14.1.1.2,OilseedByproduct,Rumen-protected soya extracted,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.14.1.1.3,OilseedByproduct,Rumen-protected soya extracted,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.14.1.1.4,OilseedByproduct,Rumen-protected soya extracted,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.14.1.1.5,OilseedByproduct,Rumen-protected soya extracted,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
3.15.1.1.1,OilseedByproduct,Maize glutenmeal,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
3.15.1.1.2,OilseedByproduct,Maize glutenmeal,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
3.15.1.1.3,OilseedByproduct,Maize glutenmeal,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
3.15.1.1.4,OilseedByproduct,Maize glutenmeal,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
3.15.1.1.5,OilseedByproduct,Maize glutenmeal,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
4.1.1.1.1,Legumes,Pea,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
4.1.1.1.2,Legumes,Pea,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
4.1.1.1.3,Legumes,Pea,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
4.1.1.1.4,Legumes,Pea,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
4.1.1.1.5,Legumes,Pea,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
4.2.1.1.1,Legumes,Lupines,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
4.2.1.1.2,Legumes,Lupines,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
4.2.1.1.3,Legumes,Lupines,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
4.2.1.1.4,Legumes,Lupines,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
4.2.1.1.5,Legumes,Lupines,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
4.3.1.1.1,Legumes,Beans,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
4.3.1.1.2,Legumes,Beans,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
4.3.1.1.3,Legumes,Beans,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
4.3.1.1.4,Legumes,Beans,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
4.3.1.1.5,Legumes,Beans,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
5.1.1.1.1,OilSeeds,Soya bean,Pigs,Piglet,Big<25kg,20,1,0.5,2016,0.5,1,,,
5.1.1.1.2,OilSeeds,Soya bean,Pigs,Piglet,Big<25kg,20,1,0.5,2015,0.5,1,,,
5.1.1.1.3,OilSeeds,Soya bean,Pigs,Piglet,Big<25kg,20,1,0.5,2014,0.5,1,,,
5.1.1.1.4,OilSeeds,Soya bean,Pigs,Piglet,Big<25kg,20,1,0.7,2013,0.5,1,,,
5.1.1.1.5,OilSeeds,Soya bean,Pigs,Piglet,Big<25kg,20,1,1,2017,0.5,1,,,
5.2.1.1.1,OilSeeds,Rapeseed,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
5.2.1.1.2,OilSeeds,Rapeseed,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
5.2.1.1.3,OilSeeds,Rapeseed,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
5.2.1.1.4,OilSeeds,Rapeseed,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
5.2.1.1.5,OilSeeds,Rapeseed,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
5.3.1.1.1,OilSeeds,Linseed,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0.5,,,
5.3.1.1.2,OilSeeds,Linseed,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0.5,,,
5.3.1.1.3,OilSeeds,Linseed,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0.5,,,
5.3.1.1.4,OilSeeds,Linseed,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0.5,,,
5.3.1.1.5,OilSeeds,Linseed,Pigs,Piglet,Big<25kg,20,1,0.5,2017,0,0.5,,,
5.4.1.1.1,OilSeeds,Sunflowerseeds,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
5.4.1.1.2,OilSeeds,Sunflowerseeds,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
5.4.1.1.3,OilSeeds,Sunflowerseeds,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
5.4.1.1.4,OilSeeds,Sunflowerseeds,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
5.4.1.1.5,OilSeeds,Sunflowerseeds,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
5.5.1.1.1,OilSeeds,Miscellaneous seeds,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
5.5.1.1.2,OilSeeds,Miscellaneous seeds,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
5.5.1.1.3,OilSeeds,Miscellaneous seeds,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
5.5.1.1.4,OilSeeds,Miscellaneous seeds,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
5.5.1.1.5,OilSeeds,Miscellaneous seeds,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
6.1.1.1.1,Diverse,Algae,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
6.1.1.1.2,Diverse,Algae,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
6.1.1.1.3,Diverse,Algae,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
